日付,開催,場所,Ｒ,レース名,クラス名,重量種別,年齢限定,限定,芝・ダ,距離,コース区分,馬場状態,天気,頭数,着順,走破タイム,人気,馬名,馬体重,馬体重増減,斤量,性別,年齢,騎手,多頭出し,所属,調教師,単勝配当,馬連,馬単,３連複,３連単,脚質,種牡馬,母馬,母父馬,母父タイプ名
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,１,1490,4,エンジニア,484,-2, 57 ,牡,4,北村宏司,,(美),牧光二,670,4500,8350,32300,155910,先行,"Sea The Stars",ロリーフォードリー,Oratorio,ニアークティック系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,２,1491,6,ジョンブドール,450,+2, 55 ,牝,5,戸崎圭太,,(美),高橋文雅,(13.8),4500,8350,32300,155910,中団,ステイゴールド,シャープキック,メジロマックイーン,トゥルビヨン系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,３,1491,8,ユニゾンデライト,490,+2, 57 ,牡,4,松田大作,,(美),小島茂之,(29.8),,,32300,155910,中団,ドリームジャーニー,マンデーデライト,リアルシヤダイ,ロイヤルチャージャー系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,４,1492,7,ラッシュアタック,502,-4, 57 ,牡,5,木幡巧也,,(美),菊川正達,(28.9),,,,,先行,アグネスデジタル,メジロヒラリー,エルコンドルパサー,ネイティヴダンサー系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,５,1492,1,エルプシャフト,454,-4, 57 ,牡,4,Ｃ．デム,,(栗),角居勝彦,(2.4),,,,,後方,ディープインパクト,ビワハイジ,Caerleon,ニアークティック系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,６,1492,9,ビービーブレスユー,516,+2, 57 ,牡,4,石橋脩,,(栗),加用正,(41.3),,,,,先行,ブラックタイド,プレインエンジェル,トニービン,ナスルーラ系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,７,1493,2,ショウボート,472,-4, 57 ,牡,5,ルメール,,(栗),石坂正,(4.6),,,,,後方,ハービンジャー,フォルクローレ,ダンスインザダーク,ロイヤルチャージャー系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,８,1494,3,エフティスパークル,462,+2, 57 ,牡,4,蛯名正義,,(美),鹿戸雄一,(6.4),,,,,中団,ハービンジャー,エフティマイア,フジキセキ,ロイヤルチャージャー系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,９,1495,11,フォワードカフェ,530,+8, 57 ,牡,5,横山和生,,(美),小島太,(85.1),,,,,後方,マンハッタンカフェ,ベストブート,"Storm Boot",ニアークティック系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,10,1495,13,ローリングタワー,444,+12, 56 ,牡,3,三浦皇成,,(美),伊藤伸一,(125.4),,,,,後方,ハービンジャー,メイユーブルーム,ダンスインザダーク,ロイヤルチャージャー系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,11,1495,5,カルヴァリオ,466,+8, 57 ,セ,4,田辺裕信,,(美),大竹正博,(10.0),,,,,先行,マツリダゴッホ,オークルーム,ペンタイア,ニアークティック系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,12,1496,14,リノリオ,516,-2, 57 ,牡,6,丸田恭介,,(栗),西園正都,(144.2),,,,,中団,ダンスインザダーク,ガンダーラプソディ,ジェイドロバリー,ネイティヴダンサー系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,13,1497,10,マイネルユニブラン,528,0, 56 ,牡,3,丹内祐次,,(美),高橋裕,(55.3),,,,,先行,スズカマンボ,コニャックレディ,Olympio,ナスルーラ系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,14,1501,15,ニシノオタケビ,484,0, 57 ,牡,5,加藤聡一,,(美),小桧山悟,(420.2),,,,,後方,アドマイヤオーラ,ニシノミライ,セイウンスカイ,その他のエクリプス系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,15,1503,12,フィールドシャルム,488,-4, 57 ,牡,4,田中勝春,,(美),土田稔,(118.6),,,,,逃げ,アドマイヤムーン,タイキクラリティ,スペシャルウィーク,ロイヤルチャージャー系
171228,5中9,中山,12,ベストウ1000,1000万,定量,３上,混,芝,1800,A,良, 晴 ,16,16,1513,16,スワンボート,482,+6, 57 ,牡,7,水口優也,,(美),柴田政人,(427.6),,,,,後方,キングヘイロー,オンワードスワン,ティッカネン,ナスルーラ系
171228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,17,１,2014,1,タイムフライヤー,456,-4, 55 ,牡,2,Ｃ．デム,,(栗),松田国英,420,1440,2960,10920,52380,中団,ハーツクライ,タイムトラベリング,ブライアンズタイム,ロイヤルチャージャー系
171228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,17,２,2016,4,ジャンダルム,494,+10, 55 ,牡,2,武豊,,(栗),池江泰寿,(6.2),1440,2960,10920,52380,先行,"Kitten's Joy",Believe,"Sunday Silence",ロイヤルチャージャー系
171228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,17,３,2016,8,ステイフーリッシュ,450,0, 55 ,牡,2,中谷雄太,,(栗),矢作芳人,(22.9),,,10920,52380,中団,ステイゴールド,カウアイレーン,キングカメハメハ,ネイティヴダンサー系
171228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,17,４,2020,5,サンリヴァル,490,+8, 55 ,牡,2,田辺裕信,,(栗),藤岡健一,(7.1),,,,,先行,ルーラーシップ,アンフィルージュ,アグネスタキオン,ロイヤルチャージャー系
171228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,17,５,2020,10,ナスノシンフォニー,456,-4, 54 ,牝,2,吉田隼人,,(美),武井亮,(40.9),,,,,中団,ハーツクライ,ナスノシベリウス,"Unbridled's Song",ネイティヴダンサー系
171228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,17,６,2024,2,ルーカス,490,+2, 55 ,牡,2,Ｍ．デム,,(美),堀宣行,(5.3),,,,,先行,スクリーンヒーロー,メジロフランシス,カーネギー,ニアークティック系
171228,5中9,中山,11,ホープフG1,Ｇ１,馬齢,２歳,国,芝,2000,A,良, 晴 ,17,７,2027,11,マイハートビート,448,-2, 55 ,牡,2,津村明秀,,(栗),高橋義忠,(89.6),,,,,後方,ゼンノロブロイ,トゥーピー,Intikhab,ロイヤルチャージャー系
